# eventID  propagation_model  gaussian_sigma  exp_decay_const  num_tracks  prob_mean  prob_width  total_hits_this_event
       0  exponential         -1.00000           23.80253          39    0.00047     0.00005          70
       1  gaussian            10.17069           -1.00000          39    0.02213     0.00221          78
       2  gaussian            19.71714           -1.00000          33    0.01909     0.00191          78
       3  linear              -1.00000           -1.00000          39    0.00720     0.00072          78
       4  linear              -1.00000           -1.00000          31    0.00636     0.00064          73
       5  gaussian             7.21716           -1.00000          12    0.04251     0.00425          78
       6  gaussian            13.19916           -1.00000          28    0.01076     0.00108          74
       7  exponential         -1.00000           14.74994          39    0.01075     0.00107          74
       8  exponential         -1.00000           19.97973          29    0.02240     0.00224          78
       9  exponential         -1.00000           13.43775          30    0.01476     0.00148          72
      10  linear              -1.00000           -1.00000          37    0.00149     0.00015          74
      11  gaussian            16.95187           -1.00000          13    0.00369     0.00037          71
      12  gaussian            14.48352           -1.00000          17    0.00845     0.00085          74
      13  exponential         -1.00000           23.55266          34    0.01067     0.00107          73
      14  linear              -1.00000           -1.00000          10    0.00764     0.00076          73
      15  gaussian            14.50558           -1.00000          10    0.02148     0.00215          71
      16  gaussian            10.78243           -1.00000          10    0.11219     0.01122          78
      17  exponential         -1.00000           19.54468          26    0.00146     0.00015          69
      18  gaussian            18.56961           -1.00000          27    0.02917     0.00292          79
      19  gaussian            18.40967           -1.00000          11    0.02411     0.00241          73
      20  linear              -1.00000           -1.00000          32    0.00249     0.00025          74
      21  exponential         -1.00000           28.42358          16    0.01107     0.00111          77
      22  linear              -1.00000           -1.00000          23    0.00017     0.00002          70
      23  exponential         -1.00000           25.01817          24    0.00567     0.00057          72
      24  linear              -1.00000           -1.00000          38    0.00697     0.00070          78
      25  gaussian             8.62647           -1.00000          11    0.08786     0.00879          79
      26  exponential         -1.00000           26.75004          35    0.01092     0.00109          76
      27  gaussian            18.10579           -1.00000          20    0.02544     0.00254          78
      28  exponential         -1.00000           25.57838          28    0.01589     0.00159          75
      29  gaussian            12.26930           -1.00000          10    0.04294     0.00429          72
      30  linear              -1.00000           -1.00000          12    0.01394     0.00139          72
      31  gaussian            17.56821           -1.00000          39    0.00337     0.00034          73
      32  linear              -1.00000           -1.00000          25    0.00517     0.00052          72
      33  gaussian            12.27618           -1.00000          23    0.00841     0.00084          72
      34  exponential         -1.00000           11.59451          18    0.06629     0.00663          75
      35  exponential         -1.00000           28.38549          14    0.03438     0.00344          77
      36  exponential         -1.00000           14.46308          33    0.02526     0.00253          78
      37  exponential         -1.00000           27.33406          38    0.00825     0.00082          74
      38  linear              -1.00000           -1.00000          40    0.00069     0.00007          71
      39  exponential         -1.00000           17.41310          20    0.00969     0.00097          74
      40  exponential         -1.00000           20.56733          21    0.03300     0.00330          78
      41  linear              -1.00000           -1.00000          17    0.00186     0.00019          70
      42  exponential         -1.00000           10.10923          14    0.07615     0.00761          75
      43  exponential         -1.00000           26.99037          29    0.02906     0.00291          75
      44  linear              -1.00000           -1.00000          40    0.00757     0.00076          79
      45  exponential         -1.00000           29.53234          26    0.00589     0.00059          76
      46  exponential         -1.00000           18.42723          31    0.02541     0.00254          76
      47  gaussian             9.45594           -1.00000          23    0.02624     0.00262          77
      48  exponential         -1.00000           13.90636          21    0.05480     0.00548          78
      49  linear              -1.00000           -1.00000          33    0.00857     0.00086          76
      50  exponential         -1.00000           17.85385          27    0.00446     0.00045          72
      51  gaussian            13.40283           -1.00000          25    0.01904     0.00190          75
      52  linear              -1.00000           -1.00000          36    0.00279     0.00028          78
      53  linear              -1.00000           -1.00000          23    0.01697     0.00170          80
      54  exponential         -1.00000           20.33830          29    0.01575     0.00157          71
      55  linear              -1.00000           -1.00000          20    0.01133     0.00113          72
      56  gaussian             5.88244           -1.00000          26    0.03084     0.00308          74
      57  exponential         -1.00000           24.30798          37    0.01070     0.00107          78
      58  linear              -1.00000           -1.00000          39    0.00936     0.00094          72
      59  gaussian            10.18080           -1.00000          40    0.00650     0.00065          73
      60  gaussian             8.54945           -1.00000          25    0.00506     0.00051          70
      61  exponential         -1.00000           27.90408          21    0.02636     0.00264          78
      62  exponential         -1.00000           12.24409          11    0.04712     0.00471          74
      63  exponential         -1.00000           26.38910          17    0.00895     0.00089          72
      64  linear              -1.00000           -1.00000          31    0.01160     0.00116          77
      65  exponential         -1.00000           23.52714          37    0.00598     0.00060          72
      66  exponential         -1.00000           24.86175          40    0.00150     0.00015          70
      67  gaussian            12.78496           -1.00000          11    0.04115     0.00412          72
      68  gaussian            13.15957           -1.00000          33    0.01816     0.00182          77
      69  linear              -1.00000           -1.00000          17    0.02404     0.00240          80
      70  gaussian            15.52712           -1.00000          37    0.00714     0.00071          76
      71  linear              -1.00000           -1.00000          18    0.01711     0.00171          76
      72  exponential         -1.00000           20.57873          27    0.01475     0.00147          77
      73  exponential         -1.00000           10.79480          29    0.01085     0.00109          72
      74  linear              -1.00000           -1.00000          24    0.00023     0.00002          71
      75  gaussian            18.19413           -1.00000          26    0.01348     0.00135          76
      76  linear              -1.00000           -1.00000          36    0.00356     0.00036          74
      77  exponential         -1.00000           20.62442          16    0.06257     0.00626          77
      78  linear              -1.00000           -1.00000          23    0.00149     0.00015          72
      79  exponential         -1.00000           19.53198          20    0.02824     0.00282          74
      80  linear              -1.00000           -1.00000          34    0.00349     0.00035          73
      81  gaussian             9.09151           -1.00000          14    0.05280     0.00528          75
      82  exponential         -1.00000           23.20670          36    0.00837     0.00084          73
      83  linear              -1.00000           -1.00000          20    0.00133     0.00013          71
      84  linear              -1.00000           -1.00000          28    0.01554     0.00155          80
      85  exponential         -1.00000           16.05029          19    0.06883     0.00688          79
      86  gaussian            17.04936           -1.00000          24    0.00775     0.00077          72
      87  gaussian             5.67231           -1.00000          15    0.10661     0.01066          72
      88  linear              -1.00000           -1.00000          38    0.00491     0.00049          74
      89  linear              -1.00000           -1.00000          36    0.01554     0.00155          80
      90  linear              -1.00000           -1.00000          29    0.00243     0.00024          73
      91  gaussian            15.86125           -1.00000          16    0.00811     0.00081          71
      92  gaussian            19.24310           -1.00000          34    0.00380     0.00038          68
      93  linear              -1.00000           -1.00000          16    0.02541     0.00254          77
      94  linear              -1.00000           -1.00000          35    0.00268     0.00027          70
      95  gaussian            10.53343           -1.00000          12    0.06041     0.00604          74
      96  exponential         -1.00000           23.74845          26    0.01021     0.00102          72
      97  gaussian            11.77556           -1.00000          14    0.00681     0.00068          68
      98  gaussian             8.34943           -1.00000          15    0.04569     0.00457          75
      99  gaussian            19.84850           -1.00000          18    0.01957     0.00196          79
     100  exponential         -1.00000           18.82062          35    0.01752     0.00175          77
     101  gaussian             9.42193           -1.00000          15    0.10704     0.01070          80
     102  exponential         -1.00000           10.01595          12    0.09154     0.00915          76
     103  linear              -1.00000           -1.00000          38    0.00740     0.00074          78
     104  gaussian             5.37320           -1.00000          13    0.02807     0.00281          73
     105  gaussian            14.14458           -1.00000          40    0.02614     0.00261          79
     106  exponential         -1.00000           12.25069          31    0.03829     0.00383          77
     107  exponential         -1.00000           17.27762          14    0.04540     0.00454          76
     108  exponential         -1.00000           19.92984          37    0.00246     0.00025          73
     109  gaussian             8.97417           -1.00000          15    0.05918     0.00592          76
     110  exponential         -1.00000           27.36415          30    0.01264     0.00126          75
     111  gaussian            10.76192           -1.00000          38    0.02058     0.00206          78
     112  gaussian            16.47369           -1.00000          29    0.00239     0.00024          71
     113  exponential         -1.00000           25.14017          34    0.02244     0.00224          78
     114  exponential         -1.00000           18.91911          17    0.04878     0.00488          79
     115  gaussian             9.56576           -1.00000          40    0.01053     0.00105          76
     116  gaussian             6.27173           -1.00000          27    0.01763     0.00176          72
     117  exponential         -1.00000           18.98198          34    0.00159     0.00016          70
     118  linear              -1.00000           -1.00000          18    0.00121     0.00012          70
     119  exponential         -1.00000           17.57969          25    0.03652     0.00365          75
     120  gaussian            12.79991           -1.00000          13    0.08555     0.00855          80
     121  linear              -1.00000           -1.00000          29    0.00332     0.00033          72
     122  gaussian             6.31033           -1.00000          30    0.01447     0.00145          77
     123  exponential         -1.00000           29.85674          38    0.01285     0.00129          79
     124  gaussian            16.37625           -1.00000          39    0.00368     0.00037          70
     125  linear              -1.00000           -1.00000          14    0.01226     0.00123          75
     126  gaussian             9.74898           -1.00000          21    0.05475     0.00548          79
     127  linear              -1.00000           -1.00000          31    0.00678     0.00068          77
     128  gaussian             6.05029           -1.00000          36    0.03020     0.00302          77
     129  gaussian            16.73708           -1.00000          16    0.03089     0.00309          72
     130  linear              -1.00000           -1.00000          31    0.01701     0.00170          76
     131  exponential         -1.00000           21.88676          18    0.00940     0.00094          73
     132  gaussian            10.42137           -1.00000          32    0.01773     0.00177          73
     133  gaussian            14.35577           -1.00000          12    0.03702     0.00370          79
     134  linear              -1.00000           -1.00000          30    0.01329     0.00133          79
     135  linear              -1.00000           -1.00000          22    0.02652     0.00265          77
     136  linear              -1.00000           -1.00000          12    0.00553     0.00055          71
     137  exponential         -1.00000           14.74647          21    0.01465     0.00147          74
     138  exponential         -1.00000           10.98958          13    0.02802     0.00280          72
     139  linear              -1.00000           -1.00000          27    0.01758     0.00176          76
     140  linear              -1.00000           -1.00000          27    0.00639     0.00064          73
     141  gaussian            19.77761           -1.00000          16    0.00782     0.00078          73
     142  exponential         -1.00000           25.64277          19    0.02803     0.00280          74
     143  exponential         -1.00000           20.45922          21    0.00664     0.00066          71
     144  gaussian             8.21257           -1.00000          30    0.03519     0.00352          77
     145  exponential         -1.00000           11.96603          15    0.05549     0.00555          75
     146  exponential         -1.00000           20.37160          25    0.00715     0.00072          76
     147  gaussian            14.37141           -1.00000          36    0.01853     0.00185          73
     148  exponential         -1.00000           24.70847          12    0.05381     0.00538          74
     149  gaussian            12.50395           -1.00000          21    0.01238     0.00124          73
     150  linear              -1.00000           -1.00000          40    0.00954     0.00095          76
     151  linear              -1.00000           -1.00000          30    0.01080     0.00108          79
     152  linear              -1.00000           -1.00000          19    0.01383     0.00138          79
     153  gaussian            19.76889           -1.00000          25    0.00658     0.00066          74
     154  exponential         -1.00000           11.73396          33    0.06507     0.00651          79
     155  exponential         -1.00000           24.25155          32    0.03773     0.00377          79
     156  linear              -1.00000           -1.00000          34    0.00304     0.00030          71
     157  linear              -1.00000           -1.00000          20    0.02814     0.00281          80
     158  linear              -1.00000           -1.00000          14    0.01595     0.00160          74
     159  exponential         -1.00000           27.65544          25    0.00362     0.00036          72
     160  linear              -1.00000           -1.00000          14    0.04343     0.00434          78
     161  exponential         -1.00000           16.92134          32    0.00006     0.00001          72
     162  gaussian             6.85920           -1.00000          22    0.02222     0.00222          79
     163  exponential         -1.00000           14.65708          36    0.00165     0.00016          70
     164  gaussian            13.24338           -1.00000          25    0.01592     0.00159          74
     165  exponential         -1.00000           24.24614          40    0.00669     0.00067          73
     166  exponential         -1.00000           25.80972          11    0.06511     0.00651          79
     167  exponential         -1.00000           28.57826          40    0.01244     0.00124          73
     168  exponential         -1.00000           10.78476          10    0.00376     0.00038          70
     169  exponential         -1.00000           25.53162          21    0.00261     0.00026          71
     170  gaussian            11.08150           -1.00000          40    0.03537     0.00354          79
     171  linear              -1.00000           -1.00000          38    0.00935     0.00094          75
     172  linear              -1.00000           -1.00000          39    0.01284     0.00128          78
     173  gaussian            19.85174           -1.00000          34    0.00075     0.00007          71
     174  gaussian            18.00899           -1.00000          17    0.01786     0.00179          74
     175  exponential         -1.00000           17.46606          16    0.03885     0.00388          74
     176  gaussian            17.77812           -1.00000          38    0.02035     0.00203          80
     177  exponential         -1.00000           26.88664          20    0.00166     0.00017          71
     178  linear              -1.00000           -1.00000          38    0.00653     0.00065          72
     179  gaussian            18.19551           -1.00000          29    0.04059     0.00406          80
     180  exponential         -1.00000           24.35619          14    0.02359     0.00236          72
     181  linear              -1.00000           -1.00000          37    0.00898     0.00090          79
     182  gaussian             7.91121           -1.00000          10    0.06534     0.00653          75
     183  exponential         -1.00000           18.24568          39    0.01825     0.00182          78
     184  linear              -1.00000           -1.00000          27    0.00869     0.00087          74
     185  exponential         -1.00000           25.91451          11    0.04128     0.00413          78
     186  gaussian            17.72771           -1.00000          10    0.03749     0.00375          76
     187  gaussian            17.45883           -1.00000          24    0.00376     0.00038          71
     188  exponential         -1.00000           11.54514          40    0.01271     0.00127          69
     189  exponential         -1.00000           23.92177          14    0.03449     0.00345          76
     190  exponential         -1.00000           22.54719          37    0.01854     0.00185          77
     191  gaussian            12.41160           -1.00000          27    0.02736     0.00274          78
     192  gaussian            14.30041           -1.00000          25    0.02477     0.00248          73
     193  gaussian             9.04447           -1.00000          15    0.00522     0.00052          73
     194  linear              -1.00000           -1.00000          30    0.00502     0.00050          74
     195  gaussian            12.05283           -1.00000          31    0.01215     0.00122          71
     196  linear              -1.00000           -1.00000          36    0.00925     0.00093          76
     197  linear              -1.00000           -1.00000          15    0.01391     0.00139          74
     198  exponential         -1.00000           14.23385          13    0.03060     0.00306          74
     199  exponential         -1.00000           21.69340          19    0.02825     0.00282          75
     200  gaussian            10.58040           -1.00000          12    0.06237     0.00624          78
     201  exponential         -1.00000           22.65459          21    0.00887     0.00089          75
     202  exponential         -1.00000           24.26415          23    0.00246     0.00025          71
     203  exponential         -1.00000           15.53687          34    0.02041     0.00204          70
     204  linear              -1.00000           -1.00000          25    0.00359     0.00036          74
